"","X","file","anole","sex","mass","treatment","run","week","date","velocity","acceleration","maxvelt","swingtime1","swingtime2","swingtime3","swingtime4","stancetime1","stancetime2","stancetime3","stridetime1","stridetime2","stridetime3","stridelength1","stridelength2","stridelength3","VelDiff","load","stridet_diff1","stridet_diff2","stridet_diff3","AccDiff","stridel_diff1","stridel_diff2","stridel_diff3","MaxTDiff"
"1",1,45,"M10","M",5.7,"T1",1,2,10111,200.2703996,1446.412121,0.472,0.044,0.052,0.052,0.036,0.036,0.036,0.036,0.088,0.088,0.072,17.3026385,17.20565287,12.18434244,0,0,0,0,0,0,0,0,0,0
"2",2,46,"M10","M",5.7,"T2",4,1,10111,192.1987893,2248.772788,0.748,0.032,0.04,0.036,0.06,0.04,0.036,0.032,0.08,0.072,0.092,13.47784407,13.14470157,16.31779045,8.0716103,20,0.00799999999999999,0.016,-0.02,-802.360667,3.82479443,4.0609513,-4.13344801,-0.276
"3",3,47,"M10","M",5.7,"T3",1,4,10111,137.6679845,1157.928188,0.804,0.044,0.044,0.036,0.048,0.032,0.044,0.032,0.076,0.08,0.08,10.07634967,10.29919193,10.11691827,62.6024151,35,0.012,0.00799999999999999,-0.00800000000000001,288.483933,7.22628883,6.90646094,2.06742417,-0.332
"4",4,48,"M10","M",5.7,"T4",5,3,10111,143.9661239,1980.930271,0.564,0.028,0.032,0.032,0.036,0.04,0.036,0.032,0.072,0.068,0.068,9.810383835,8.700688007,8.648520322,56.3042757,50,0.016,0.02,0.00399999999999999,-534.51815,7.492254665,8.504964863,3.535822118,-0.092
"5",5,77,"M23","M",3.9,"T1",4,1,10111,172.4570097,1818.661686,0.308,0.048,0.052,0.048,0.048,0.036,0.04,0.044,0.088,0.088,0.092,13.85593272,14.8817469,14.72959345,0,0,0,0,0,0,0,0,0,0
"6",6,78,"M23","M",3.9,"T2",4,3,10111,176.9228172,2255.856351,0.592,0.032,0.036,0.036,0.036,0.04,0.036,0.036,0.076,0.072,0.072,12.26878615,12.51192064,11.18875283,-4.46580750000001,20,0.012,0.016,0.02,-437.194665,1.58714657,2.36982626,3.54084062,-0.284
"7",7,79,"M23","M",3.9,"T3",1,4,10111,147.5252676,786.7014046,0.52,0.036,0.032,0.036,0.044,0.048,0.048,0.04,0.08,0.084,0.084,11.10039191,11.88014235,11.9657145,24.9317421,35,0.00799999999999999,0.00399999999999999,0.00799999999999999,1031.9602814,2.75554081,3.00160455,2.76387895,-0.212
"8",8,80,"M23","M",3.9,"T4",3,2,10111,157.5485107,1818.384404,0.856,0.048,0.048,0.044,0.048,0.04,0.036,0.032,0.088,0.08,0.08,12.29556527,11.62136331,11.99742986,14.908499,50,0,0.00799999999999999,0.012,0.277282000000014,1.56036745,3.26038359,2.73216359,-0.548
"9",9,97,"M31","M",5.62,"T1",4,3,10111,183.8142233,2465.313688,0.496,0.056,0.04,0.056,0.044,0.04,0.04,0.044,0.08,0.096,0.088,12.59016764,17.03480601,14.91093352,0,0,0,0,0,0,0,0,0,0
"10",10,98,"M31","M",5.62,"T2",3,2,10111,137.6985635,1063.497106,0.34,0.048,0.06,0.056,0.068,0.056,0.052,0.052,0.116,0.108,0.12,13.21184176,14.06505162,15.03335661,46.1156598,20,-0.036,-0.012,-0.032,1401.816582,-0.62167412,2.96975439,-0.12242309,0.156
"11",11,99,"M31","M",5.62,"T3",1,4,10111,167.0382685,930.5628376,0.624,0.04,0.036,0.036,0.036,0.04,0.044,0.048,0.076,0.08,0.084,12.08172537,12.95903798,13.55467454,16.7759548,35,0.004,0.016,0.00399999999999999,1534.7508504,0.508442270000002,4.07576803,1.35625898,-0.128
"12",12,101,"M31","M",5.62,"T4",5,1,10111,172.827736,1734.908146,0.592,0.036,0.036,0.036,0.048,0.048,0.044,0.044,0.084,0.08,0.092,11.56461557,13.48988244,15.59905397,10.9864873,50,-0.004,0.016,-0.004,730.405542,1.02555207,3.54492357,-0.68812045,-0.096
