Time	Fxf	Fyf	Fzf	Ftf	aux	Fx	Fy	Fz	Ft
0.000000	0.214724	-0.227752	0.205019	0.374179	4.800488	0.215457	-0.228173	0.206048	0.375421
0.008000	0.217667	-0.228276	0.207415	0.377504	4.800488	0.017090	-0.174767	0.053457	0.183557
0.016000	0.209876	-0.227595	0.203567	0.370523	4.800031	-0.127871	-0.197655	0.221307	0.323102
0.024000	0.224322	-0.228213	0.208420	0.381890	4.799878	-0.131685	-0.231988	0.137382	0.300055
0.032000	0.203185	-0.228151	0.204297	0.367525	4.799878	-0.326238	-0.247247	0.351008	0.539230
0.040000	0.226738	-0.226826	0.203967	0.380083	4.799573	-0.265202	-0.155693	0.076346	0.316861
0.048000	0.212689	-0.230643	0.214858	0.380259	4.799420	-0.291905	-0.113731	0.038198	0.315598
0.056000	0.194580	-0.223283	0.185505	0.349470	4.799115	-0.234684	0.015971	0.030569	0.237205
0.064000	0.278711	-0.234420	0.240408	0.436381	4.798963	-0.013428	-0.033621	-0.106762	0.112734
0.072000	0.089635	-0.221400	0.159457	0.287191	4.798810	-0.070649	-0.155693	0.053457	0.179135
0.080000	-0.122582	-0.073413	-0.111150	0.181025	4.798505	-0.108797	-0.075583	-0.160169	0.207855
0.088000	-0.165922	0.019443	0.009453	0.167324	4.798963	-0.169833	0.023601	0.038198	0.175668
0.096000	-0.167285	-0.054105	0.177207	0.249628	4.798352	-0.173648	-0.056509	0.167900	0.248067
0.104000	-0.111773	-0.046267	0.127911	0.176054	4.798047	-0.097353	-0.048880	0.129753	0.169418
0.112000	-0.089976	0.020008	0.231753	0.249411	4.798047	-0.108797	0.027415	0.221307	0.248123
0.120000	-0.078587	0.059492	0.159328	0.187352	4.797742	-0.059205	0.050304	0.190789	0.206000
0.128000	-0.069812	0.089778	0.003185	0.113772	4.797589	-0.085908	0.096081	-0.053356	0.139494
0.136000	-0.045387	-0.004527	-0.085573	0.096970	4.797589	-0.036316	-0.003103	-0.007579	0.037228
0.144000	0.011704	0.048732	-0.123586	0.133362	4.797132	0.013275	0.038860	-0.213575	0.217487
0.152000	0.195974	0.259551	-0.019178	0.325792	4.796979	0.181125	0.271560	0.068716	0.333576
0.160000	0.322293	0.223555	-0.005561	0.392276	4.796979	0.348974	0.218153	-0.076244	0.418553
0.168000	0.236648	0.139918	0.178492	0.327778	4.796826	0.204013	0.134229	0.221307	0.329568
0.176000	0.148805	0.174814	0.341883	0.411810	4.796673	0.181125	0.191450	0.328120	0.420858
0.184000	0.176963	0.292792	0.221471	0.407545	4.796368	0.150607	0.267745	0.213677	0.374203
0.192000	0.376266	0.339712	0.065126	0.511099	4.796216	0.390936	0.366929	0.083975	0.542697
0.200000	0.366246	0.108476	-0.065415	0.387533	4.796063	0.364233	0.088451	-0.083874	0.384089
0.208000	0.036215	-0.017633	0.000788	0.040287	4.796063	0.032349	-0.010732	0.007680	0.034938
0.216000	-0.110823	-0.000372	0.117686	0.161653	4.796216	-0.108797	0.004527	0.129753	0.169390
0.224000	-0.167878	-0.053228	0.149019	0.230701	4.795758	-0.166018	-0.064139	0.114494	0.211624
0.232000	-0.277786	-0.062987	0.117180	0.307999	4.795758	-0.280461	-0.052694	0.175530	0.335031
0.240000	-0.282908	-0.113157	0.118782	0.327033	4.795758	-0.284276	-0.117545	0.038198	0.309982
