Time Fxf Fyf Fzf Ftf	
0.000000 0.215457 -0.228173 0.206048 0.375421
0.008000 0.215457 -0.228173 0.206048 0.375421
0.016000 0.215457 -0.228173 0.206048 0.375421
0.024000 0.215457 -0.228173 0.206048 0.375421
0.032000 0.215457 -0.228173 0.206048 0.375421
0.040000 0.215457 -0.228173 0.206048 0.375420
0.048000 0.215453 -0.228172 0.206044 0.375415
0.056000 0.215314 -0.228119 0.205926 0.375238
0.064000 0.210701 -0.226368 0.202018 0.369390
0.072000 0.058170 -0.168489 0.072784 0.192535
0.080000 -0.114311 -0.070330 -0.054269 0.144770
0.088000 -0.154194 -0.023096 0.021864 0.157440
0.096000 -0.152607 -0.034102 0.123877 0.199493
0.104000 -0.119526 -0.030406 0.161808 0.203452
0.112000 -0.093865 0.013952 0.188239 0.210806
0.120000 -0.078385 0.054843 0.135372 0.165763
0.128000 -0.066215 0.058930 0.019994 0.090867
0.136000 -0.034774 0.034688 -0.068351 0.084168
0.144000 0.044626 0.088312 -0.089169 0.133198
0.152000 0.179592 0.196927 -0.037389 0.269131
0.160000 0.266903 0.208936 0.036383 0.340904
0.168000 0.233925 0.171559 0.172321 0.337414
0.176000 0.182111 0.197733 0.267799 0.379446
0.184000 0.220290 0.271022 0.207561 0.406279
0.192000 0.319785 0.268282 0.075756 0.424236
0.200000 0.282652 0.133942 -0.015078 0.313146
0.208000 0.081154 0.020356 0.016774 0.085333
0.216000 -0.085484 -0.016177 0.094152 0.128195
0.224000 -0.179612 -0.044103 0.132104 0.227282
0.232000 -0.251630 -0.071759 0.124549 0.289792
0.240000 -0.287141 -0.099135 0.073802 0.312609
0.248000 -0.293119 -0.087825 -0.056057 0.311086
0.256000 -0.247879 -0.042005 -0.151296 0.293426
0.264000 -0.168118 -0.019645 -0.029931 0.171888
0.272000 -0.123992 -0.007553 0.108100 0.164671
0.280000 -0.077880 0.014448 0.165929 0.183865
0.288000 -0.019367 0.018728 0.221779 0.223409
