Time	Fx	Fy	Fz	Ft	aux	Fx	Fy	Fz	Ft
1.000000	-0.082112	-0.053819	0.400499	0.412357	-0.009766	-0.073790	-0.040322	0.376516	0.385792
1.008000	-0.008502	-0.124593	0.312036	0.336099	-0.002899	-0.028013	-0.135691	0.361257	0.386916
1.016000	-0.053705	-0.216879	0.109609	0.248868	-0.008240	-0.024198	-0.208171	0.048447	0.215100
1.024000	-0.115872	-0.145225	0.158025	0.243903	-0.005493	-0.150085	-0.154765	0.216297	0.305388
1.032000	-0.012664	-0.053472	0.057794	0.079748	-0.007019	0.017764	-0.040322	0.010300	0.045249
1.040000	0.037160	0.095030	-0.227864	0.249667	-0.006714	0.017764	0.077935	-0.188067	0.204350
1.048000	0.088658	0.235607	-0.057886	0.258305	0.024567	0.094059	0.253414	-0.096513	0.287020
1.056000	0.182319	0.242918	0.225546	0.378313	-0.005798	0.189428	0.230526	0.262074	0.397124
1.064000	0.242555	0.282748	0.144656	0.399631	-0.004273	0.227576	0.283932	0.117113	0.382261
1.072000	0.314188	0.241035	0.063904	0.401118	-0.007324	0.330574	0.253414	0.078965	0.423950
1.080000	0.235558	0.154527	0.122088	0.307037	0.005951	0.223761	0.131342	0.117113	0.284667
1.088000	0.097208	0.161317	0.162987	0.249073	-0.007324	0.101689	0.188563	0.162890	0.269128
1.096000	0.000089	0.045221	0.246877	0.250985	-0.002747	0.002505	0.020714	0.246815	0.247695
1.104000	-0.032852	-0.036485	0.145164	0.153242	-0.007782	-0.039457	-0.017433	0.147631	0.153804
1.112000	0.053566	-0.009181	0.040386	0.067710	-0.004120	0.059726	-0.025063	0.040818	0.076560
1.120000	0.035275	-0.087630	0.201006	0.222096	0.027008	0.033023	-0.070840	0.185779	0.201550
1.128000	-0.095131	-0.146414	0.175766	0.247751	-0.003815	-0.096679	-0.166209	0.216297	0.289407
1.136000	-0.123687	-0.142434	0.041250	0.193100	-0.006867	-0.119567	-0.120432	-0.027848	0.171976
1.144000	-0.044250	-0.178408	0.059520	0.193210	-0.002441	-0.050902	-0.200542	0.155261	0.258677
1.152000	-0.043831	-0.228511	0.242786	0.336279	0.012818	-0.035643	-0.208171	0.124743	0.245288
